,age,marital,education,default,balance,housing,loan,contact,day,duration,campaign,pdays,previous,y
204,35,married,secondary,no,0,yes,no,unknown,5,471,1,-1,0,no
205,50,married,secondary,no,5699,yes,no,unknown,5,381,2,-1,0,no
206,41,married,tertiary,no,176,yes,yes,unknown,5,42,1,-1,0,no
207,41,married,tertiary,no,517,yes,no,unknown,5,251,1,-1,0,no
208,39,single,unknown,no,257,yes,no,unknown,5,408,1,-1,0,no
209,42,married,secondary,no,56,yes,no,unknown,5,215,1,-1,0,no
210,38,married,secondary,no,-390,yes,no,unknown,5,287,1,-1,0,no
211,53,married,secondary,no,330,yes,no,unknown,5,216,2,-1,0,no
212,59,divorced,primary,no,195,no,no,unknown,5,366,2,-1,0,no
213,36,married,secondary,no,301,yes,no,unknown,5,210,1,-1,0,no
214,54,married,primary,no,-41,yes,no,unknown,5,288,1,-1,0,no
215,40,married,tertiary,no,483,yes,no,unknown,5,168,1,-1,0,no
216,47,married,unknown,no,28,no,no,unknown,5,338,2,-1,0,no
217,53,married,unknown,no,13,no,no,unknown,5,410,3,-1,0,no
218,46,married,primary,no,965,no,no,unknown,5,177,1,-1,0,no
219,39,married,tertiary,no,378,yes,yes,unknown,5,127,2,-1,0,no
220,40,married,secondary,no,219,yes,no,unknown,5,357,1,-1,0,no
221,28,married,primary,no,324,yes,no,unknown,5,175,1,-1,0,no
222,35,divorced,secondary,no,-69,yes,no,unknown,5,300,1,-1,0,no
223,55,married,secondary,no,0,no,yes,unknown,5,136,1,-1,0,no
224,43,divorced,unknown,no,205,yes,no,unknown,5,1419,1,-1,0,no
225,48,married,primary,no,278,yes,no,unknown,5,125,2,-1,0,no
226,58,married,unknown,no,1065,yes,no,unknown,5,213,3,-1,0,no
227,33,single,tertiary,no,34,yes,no,unknown,5,27,1,-1,0,no
228,36,married,unknown,no,1033,no,no,unknown,5,238,2,-1,0,no
229,53,divorced,secondary,no,1467,yes,no,unknown,5,124,1,-1,0,no
230,47,married,primary,no,-12,yes,no,unknown,5,18,1,-1,0,no
231,31,married,secondary,no,388,yes,no,unknown,5,730,2,-1,0,no
232,57,married,secondary,no,294,yes,no,unknown,5,746,2,-1,0,no
233,53,married,unknown,no,1827,no,no,unknown,5,121,1,-1,0,no
234,55,married,primary,no,627,yes,no,unknown,5,247,1,-1,0,no
235,45,married,primary,no,25,yes,no,unknown,5,40,1,-1,0,no
236,53,divorced,secondary,no,315,yes,no,unknown,5,181,2,-1,0,no
237,37,married,primary,no,0,yes,no,unknown,5,79,1,-1,0,no
238,44,divorced,secondary,no,66,yes,no,unknown,5,206,1,-1,0,no
239,49,divorced,primary,no,-9,yes,yes,unknown,5,389,1,-1,0,no
240,46,married,secondary,no,349,yes,yes,unknown,5,127,1,-1,0,no
241,43,married,unknown,no,100,yes,no,unknown,5,702,1,-1,0,no
242,38,married,secondary,no,0,no,no,unknown,5,151,1,-1,0,no
243,43,married,secondary,no,434,yes,no,unknown,5,117,1,-1,0,no
244,49,married,tertiary,no,3237,yes,no,unknown,5,232,3,-1,0,no
245,42,married,unknown,no,275,no,no,unknown,5,408,2,-1,0,no
246,22,single,secondary,no,0,yes,no,unknown,5,179,2,-1,0,no
247,40,married,tertiary,no,207,yes,no,unknown,5,39,1,-1,0,no
248,39,married,secondary,no,483,yes,no,unknown,5,282,1,-1,0,no
249,51,married,secondary,no,2248,yes,no,unknown,5,714,2,-1,0,no
250,49,married,secondary,no,428,yes,no,unknown,5,50,1,-1,0,no
251,53,married,secondary,no,0,yes,yes,unknown,5,181,1,-1,0,no
252,34,single,secondary,no,0,yes,no,unknown,5,142,1,-1,0,no
253,33,divorced,secondary,no,140,yes,no,unknown,5,227,1,-1,0,no
254,50,single,tertiary,no,297,yes,no,unknown,5,119,1,-1,0,no
255,39,married,primary,no,279,yes,no,unknown,5,361,1,-1,0,no
256,59,divorced,secondary,no,901,yes,no,unknown,5,73,3,-1,0,no
257,30,single,secondary,no,2573,yes,no,unknown,5,67,2,-1,0,no
258,36,married,secondary,no,143,yes,yes,unknown,5,350,1,-1,0,no
259,40,married,secondary,no,475,yes,no,unknown,5,332,2,-1,0,no
260,53,married,secondary,no,70,yes,no,unknown,5,611,2,-1,0,no
261,34,single,tertiary,no,318,yes,no,unknown,5,113,2,-1,0,no
262,37,married,secondary,no,275,yes,no,unknown,5,132,1,-1,0,no
263,42,divorced,tertiary,no,742,yes,no,unknown,5,58,3,-1,0,no
264,41,married,primary,no,236,yes,no,unknown,5,151,1,-1,0,no
265,30,single,tertiary,no,25,yes,no,unknown,5,89,2,-1,0,no
266,37,single,tertiary,no,600,yes,no,unknown,5,152,1,-1,0,no
267,39,divorced,secondary,no,-349,yes,no,unknown,5,611,2,-1,0,no
268,41,married,primary,no,183,yes,yes,unknown,5,110,2,-1,0,no
269,40,married,primary,no,0,yes,no,unknown,5,463,1,-1,0,no
270,42,single,tertiary,no,0,yes,yes,unknown,5,562,2,-1,0,yes
271,40,divorced,primary,no,0,yes,no,unknown,5,962,1,-1,0,no
272,57,married,secondary,no,1078,yes,no,unknown,5,10,4,-1,0,no
273,56,divorced,secondary,no,155,no,no,unknown,5,118,3,-1,0,no
274,37,married,secondary,no,190,yes,no,unknown,5,92,2,-1,0,no
275,59,married,secondary,no,319,yes,no,unknown,5,143,3,-1,0,no
276,39,divorced,secondary,no,-185,yes,no,unknown,5,189,3,-1,0,no
277,49,married,secondary,no,47,no,no,unknown,5,234,2,-1,0,no
278,38,single,secondary,no,570,yes,no,unknown,5,75,2,-1,0,no
279,36,married,tertiary,no,19,no,no,unknown,5,189,2,-1,0,no
280,50,married,primary,no,61,yes,no,unknown,5,621,3,-1,0,no
281,41,married,secondary,no,-62,yes,yes,unknown,5,55,2,-1,0,no
282,54,married,tertiary,no,258,no,no,unknown,5,310,4,-1,0,no
283,58,married,primary,no,76,yes,no,unknown,5,156,2,-1,0,no
284,30,single,secondary,no,0,yes,no,unknown,5,5,2,-1,0,no
285,33,single,secondary,no,352,yes,no,unknown,5,225,2,-1,0,no
286,47,married,secondary,no,368,yes,no,unknown,5,125,2,-1,0,no
287,50,single,tertiary,no,339,yes,no,unknown,5,2,3,-1,0,no
288,32,married,secondary,no,1331,yes,no,unknown,5,286,2,-1,0,no
289,40,married,secondary,no,672,yes,no,unknown,5,164,2,-1,0,no
290,37,married,tertiary,no,58,yes,no,unknown,5,98,2,-1,0,no
291,54,single,unknown,no,447,yes,no,unknown,5,742,2,-1,0,no
292,24,single,secondary,no,423,yes,no,unknown,5,226,3,-1,0,no
293,54,married,tertiary,no,0,no,no,unknown,5,120,2,-1,0,no
294,34,married,secondary,no,19,yes,no,unknown,5,362,4,-1,0,no
295,56,divorced,primary,no,13,yes,no,unknown,5,357,2,-1,0,no
296,31,single,secondary,no,3,yes,no,unknown,5,200,2,-1,0,no
297,24,single,secondary,no,82,yes,no,unknown,5,204,2,-1,0,no
298,42,divorced,primary,no,28,yes,no,unknown,5,126,3,-1,0,no
299,57,married,secondary,no,792,yes,no,unknown,5,65,2,-1,0,no
300,42,married,unknown,no,408,yes,no,unknown,5,107,2,-1,0,no
301,51,married,secondary,no,531,yes,no,unknown,5,267,2,-1,0,no
302,57,married,secondary,no,211,yes,no,unknown,5,248,2,-1,0,no
303,36,single,secondary,no,62,yes,no,unknown,5,215,2,-1,0,no
304,53,married,unknown,no,257,yes,no,unknown,5,209,2,-1,0,no
305,50,married,secondary,no,1234,yes,no,unknown,5,205,2,-1,0,no
306,54,married,tertiary,no,313,yes,no,unknown,5,83,2,-1,0,no
307,55,married,secondary,no,89,yes,no,unknown,5,106,3,-1,0,no
308,44,married,secondary,no,129,yes,yes,unknown,5,189,2,-1,0,no
309,43,married,unknown,no,0,yes,no,unknown,5,105,2,-1,0,no
310,56,married,secondary,no,353,yes,no,unknown,5,106,2,-1,0,no
311,54,married,unknown,no,851,yes,no,unknown,5,108,2,-1,0,no
312,55,divorced,primary,no,96,yes,yes,unknown,5,311,2,-1,0,no
313,37,divorced,secondary,no,398,yes,yes,unknown,5,214,2,-1,0,no
314,33,single,tertiary,no,193,no,no,unknown,5,132,2,-1,0,no
315,46,married,secondary,no,-358,yes,no,unknown,5,358,2,-1,0,no
316,36,married,secondary,no,539,yes,yes,unknown,5,453,2,-1,0,no
317,51,single,secondary,no,0,yes,no,unknown,5,364,2,-1,0,no
318,40,single,primary,no,0,no,no,unknown,5,136,2,-1,0,no
319,42,married,secondary,no,490,yes,no,unknown,5,386,2,-1,0,no
320,51,married,secondary,no,0,yes,no,unknown,5,173,2,-1,0,no
321,49,married,unknown,no,403,yes,no,unknown,5,241,2,-1,0,no
322,48,married,secondary,no,161,yes,no,unknown,5,224,3,-1,0,no
323,32,divorced,tertiary,no,2558,no,no,unknown,5,148,2,-1,0,no
324,31,single,secondary,no,98,yes,no,unknown,5,196,2,-1,0,no
325,55,single,tertiary,no,115,no,no,unknown,5,111,4,-1,0,no
326,40,single,secondary,no,436,yes,no,unknown,5,231,3,-1,0,no
327,47,married,tertiary,no,831,yes,no,unknown,5,316,3,-1,0,no
328,57,married,unknown,no,206,yes,no,unknown,5,216,3,-1,0,no
329,41,married,secondary,no,290,yes,no,unknown,5,240,2,-1,0,no
330,48,married,secondary,no,1,no,no,unknown,5,669,3,-1,0,no
331,42,married,unknown,no,57,yes,no,unknown,5,425,2,-1,0,no
332,30,single,secondary,no,-457,yes,no,unknown,5,143,2,-1,0,no
333,58,single,tertiary,no,1387,yes,no,unknown,5,174,5,-1,0,no
334,45,divorced,tertiary,no,24598,yes,no,unknown,5,313,3,-1,0,no
335,49,married,secondary,no,30,yes,no,unknown,5,135,4,-1,0,no
336,42,single,secondary,no,1022,yes,no,unknown,5,146,2,-1,0,no
337,53,married,secondary,no,56,yes,yes,unknown,5,152,2,-1,0,no
338,51,single,secondary,yes,-2,no,no,unknown,5,402,3,-1,0,no
339,32,single,secondary,no,121,yes,no,unknown,5,213,2,-1,0,no
340,41,single,secondary,no,842,yes,no,unknown,5,144,3,-1,0,no
341,43,divorced,secondary,no,693,yes,no,unknown,5,124,3,-1,0,no
342,40,divorced,secondary,no,-333,yes,no,unknown,5,183,2,-1,0,no
343,50,married,primary,no,1533,yes,no,unknown,5,325,2,-1,0,no
344,34,married,tertiary,no,46,yes,no,unknown,5,39,4,-1,0,no
345,53,married,unknown,no,18,no,no,unknown,5,503,2,-1,0,no
346,45,married,secondary,no,44,yes,no,unknown,5,95,4,-1,0,no
347,39,married,primary,no,-100,yes,no,unknown,5,680,2,-1,0,no
348,44,married,tertiary,no,510,yes,no,unknown,5,421,4,-1,0,no
349,55,married,tertiary,no,685,yes,no,unknown,5,174,3,-1,0,no
350,46,single,tertiary,no,187,yes,no,unknown,5,113,2,-1,0,no
351,45,married,secondary,no,66,yes,no,unknown,5,808,2,-1,0,no
352,34,married,secondary,no,560,yes,no,unknown,5,198,3,-1,0,no
353,36,married,secondary,no,0,yes,no,unknown,5,195,2,-1,0,no
354,59,divorced,unknown,no,27,no,no,unknown,5,347,3,-1,0,no
355,31,single,secondary,no,12,yes,no,unknown,5,208,2,-1,0,no
356,44,single,secondary,no,34,yes,no,unknown,5,404,4,-1,0,no
357,33,single,tertiary,no,1068,yes,no,unknown,5,396,2,-1,0,no
358,40,married,secondary,no,211,yes,no,unknown,5,216,4,-1,0,no
359,46,single,tertiary,no,377,yes,no,unknown,5,98,2,-1,0,no
360,48,married,tertiary,no,263,yes,no,unknown,5,350,2,-1,0,no
361,42,married,secondary,no,1263,yes,no,unknown,6,114,2,-1,0,no
362,27,married,secondary,no,8,yes,no,unknown,6,88,3,-1,0,no
363,48,married,secondary,no,126,yes,yes,unknown,6,379,2,-1,0,no
364,59,married,secondary,no,230,yes,no,unknown,6,190,3,-1,0,no
365,46,married,tertiary,no,841,yes,no,unknown,6,158,1,-1,0,no
366,38,divorced,secondary,no,308,yes,no,unknown,6,102,1,-1,0,no
367,43,divorced,tertiary,no,1,yes,no,unknown,6,306,1,-1,0,no
368,38,divorced,tertiary,no,86,yes,no,unknown,6,218,1,-1,0,no
369,23,single,secondary,no,157,yes,no,unknown,6,54,1,-1,0,no
370,34,married,secondary,no,22,yes,no,unknown,6,344,1,-1,0,no
371,38,married,secondary,no,46,yes,yes,unknown,6,195,1,-1,0,no
372,37,married,secondary,no,1293,no,no,unknown,6,652,1,-1,0,no
373,25,single,secondary,no,122,yes,no,unknown,6,286,1,-1,0,no
374,48,married,unknown,no,131,yes,no,unknown,6,189,1,-1,0,no
375,49,single,secondary,no,143,yes,no,unknown,6,83,1,-1,0,no
376,38,single,secondary,no,393,no,no,unknown,6,184,2,-1,0,no
377,43,married,primary,no,98,yes,no,unknown,6,235,1,-1,0,no
378,33,married,tertiary,no,0,yes,no,unknown,6,290,1,-1,0,no
379,55,married,secondary,no,224,yes,no,unknown,6,232,1,-1,0,no
